"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"76695.123105";"Velocidade (GPS)";"77.227205657959";"km/h";"-22.28847791";"-47.67719489";
"76695.123105";"Velocidade média (GPS)";"71.8258982144849";"km/h";"-22.28847791";"-47.67719489";
"76695.126105";"Altitude (GPS)";"652.899963378906";"m";"-22.28847791";"-47.67719489";
"76695.126105";"Altitude (GPS)";"652.899963378906";"m";"-22.28847791";"-47.67719489";
"76695.126105";"Velocidade (GPS)";"77.227205657959";"km/h";"-22.28847791";"-47.67719489";
"76695.126105";"Velocidade média (GPS)";"71.8446158873154";"km/h";"-22.28847791";"-47.67719489";
"76695.808105";"Altitude (GPS)";"641.49072265625";"m";"-22.28847791";"-47.67719489";
"76695.808105";"Velocidade (GPS)";"77.1120002746582";"km/h";"-22.28847791";"-47.67719489";
"76695.808105";"Velocidade média (GPS)";"74.3188947219637";"km/h";"-22.28847791";"-47.67719489";
"76695.809105";"Altitude (GPS)";"641.49072265625";"m";"-22.28847791";"-47.67719489";
"76695.809105";"Velocidade (GPS)";"77.1120002746582";"km/h";"-22.28847791";"-47.67719489";
"76695.809105";"Velocidade média (GPS)";"74.3193657826908";"km/h";"-22.28847791";"-47.67719489";
"76695.811105";"Altitude (GPS)";"641.49072265625";"m";"-22.28847791";"-47.67719489";
"76695.811105";"Velocidade (GPS)";"77.1120002746582";"km/h";"-22.28847791";"-47.67719489";
"76695.811105";"Velocidade média (GPS)";"74.3247476460209";"km/h";"-22.28847791";"-47.67719489";
"76696.164105";"Altitude (GPS)";"651.700012207031";"m";"-22.28847791";"-47.67719489";
"76696.164105";"Altitude (GPS)";"651.700012207031";"m";"-22.28847791";"-47.67719489";
"76696.164105";"Velocidade (GPS)";"77.4144058227539";"km/h";"-22.28847791";"-47.67719489";
"76696.164105";"Velocidade (GPS)";"77.4144058227539";"km/h";"-22.28847791";"-47.67719489";
"76696.164105";"Velocidade média (GPS)";"74.9267794000129";"km/h";"-22.28847791";"-47.67719489";
"76696.164105";"Velocidade média (GPS)";"74.9270023059762";"km/h";"-22.28847791";"-47.67719489";
