"SECONDS";"PID";"VALUE";"UNITS";"LATITUDE";"LONGTITUDE";
"42333.63587";"Altitude (GPS)";"0";"m";"-22.7808021";"-47.43608507";
"42333.63587";"Velocidade (GPS)";"0";"km/h";"-22.7808021";"-47.43608507";
"42333.63587";"Velocidade média (GPS)";"60.8010644303109";"km/h";"-22.7808021";"-47.43608507";
"42334.02187";"Altitude (GPS)";"572.64990234375";"m";"-22.7808021";"-47.43608507";
"42334.02187";"Velocidade (GPS)";"116.640005493164";"km/h";"-22.7808021";"-47.43608507";
"42334.02187";"Velocidade média (GPS)";"60.8036956022134";"km/h";"-22.7808021";"-47.43608507";
"42334.02587";"Altitude (GPS)";"572.64990234375";"m";"-22.7806479";"-47.43635313";
"42334.02587";"Altitude (GPS)";"572.64990234375";"m";"-22.7806479";"-47.43635313";
"42334.02587";"Velocidade (GPS)";"116.640005493164";"km/h";"-22.7806479";"-47.43635313";
"42334.02587";"Velocidade (GPS)";"116.640005493164";"km/h";"-22.7806479";"-47.43635313";
"42334.02587";"Velocidade média (GPS)";"60.803721188972";"km/h";"-22.7806479";"-47.43635313";
"42334.02587";"Velocidade média (GPS)";"60.8037238676057";"km/h";"-22.7806479";"-47.43635313";
"42334.37887";"Altitude (GPS)";"572.700012207031";"m";"-22.7806479";"-47.43635313";
"42334.37887";"Velocidade (GPS)";"116.859608459473";"km/h";"-22.7806479";"-47.43635313";
"42334.37887";"Velocidade média (GPS)";"60.8061373438399";"km/h";"-22.7806479";"-47.43635313";
"42334.38087";"Altitude (GPS)";"572.700012207031";"m";"-22.7806479";"-47.43635313";
"42334.38087";"Velocidade (GPS)";"116.859608459473";"km/h";"-22.7806479";"-47.43635313";
"42334.38087";"Velocidade média (GPS)";"60.8061475659041";"km/h";"-22.7806479";"-47.43635313";
"42335.01387";"Altitude (GPS)";"572.889526367188";"m";"-22.7806479";"-47.43635313";
"42335.01387";"Velocidade (GPS)";"116.1";"km/h";"-22.7806479";"-47.43635313";
"42335.01387";"Velocidade média (GPS)";"60.8104231413596";"km/h";"-22.7806479";"-47.43635313";
"42335.01987";"Altitude (GPS)";"572.889526367188";"m";"-22.7804884";"-47.43661973";
"42335.01987";"Altitude (GPS)";"572.889526367188";"m";"-22.7804884";"-47.43661973";
"42335.01987";"Velocidade (GPS)";"116.1";"km/h";"-22.7804884";"-47.43661973";
"42335.01987";"Velocidade (GPS)";"116.1";"km/h";"-22.7804884";"-47.43661973";
"42335.01987";"Velocidade média (GPS)";"60.8104655544704";"km/h";"-22.7804884";"-47.43661973";
"42335.01987";"Velocidade média (GPS)";"60.8104659526202";"km/h";"-22.7804884";"-47.43661973";
"42335.38487";"Altitude (GPS)";"574";"m";"-22.7804884";"-47.43661973";
"42335.38487";"Altitude (GPS)";"574";"m";"-22.7804884";"-47.43661973";
"42335.38487";"Velocidade (GPS)";"117.046801757813";"km/h";"-22.7804884";"-47.43661973";
"42335.38487";"Velocidade (GPS)";"117.046801757813";"km/h";"-22.7804884";"-47.43661973";
"42335.38487";"Velocidade média (GPS)";"60.8129678359707";"km/h";"-22.7804884";"-47.43661973";
"42335.38487";"Velocidade média (GPS)";"60.8129694007921";"km/h";"-22.7804884";"-47.43661973";
"42336.02087";"Altitude (GPS)";"573.719116210938";"m";"-22.7804884";"-47.43661973";
"42336.02087";"Velocidade (GPS)";"117.827998352051";"km/h";"-22.7804884";"-47.43661973";
"42336.02087";"Velocidade média (GPS)";"60.817394417886";"km/h";"-22.7804884";"-47.43661973";
"42336.02787";"Altitude (GPS)";"573.719116210938";"m";"-22.78033457";"-47.43688935";
"42336.02787";"Altitude (GPS)";"573.719116210938";"m";"-22.78033457";"-47.43688935";
"42336.02787";"Velocidade (GPS)";"117.827998352051";"km/h";"-22.78033457";"-47.43688935";
"42336.02787";"Velocidade (GPS)";"117.827998352051";"km/h";"-22.78033457";"-47.43688935";
"42336.02787";"Velocidade média (GPS)";"60.8174385911171";"km/h";"-22.78033457";"-47.43688935";
"42336.02787";"Velocidade média (GPS)";"60.8174403931107";"km/h";"-22.78033457";"-47.43688935";
"42336.39987";"Altitude (GPS)";"575.299987792969";"m";"-22.78033457";"-47.43688935";
"42336.39987";"Altitude (GPS)";"575.299987792969";"m";"-22.78033457";"-47.43688935";
"42336.39987";"Velocidade (GPS)";"117.046801757813";"km/h";"-22.78033457";"-47.43688935";
"42336.39987";"Velocidade (GPS)";"117.046801757813";"km/h";"-22.78033457";"-47.43688935";
"42336.39987";"Velocidade média (GPS)";"60.819996015875";"km/h";"-22.78033457";"-47.43688935";
"42336.39987";"Velocidade média (GPS)";"60.8199972303683";"km/h";"-22.78033457";"-47.43688935";
"42337.02087";"Altitude (GPS)";"574.63525390625";"m";"-22.78017875";"-47.437152";
"42337.02087";"Velocidade (GPS)";"115.955996704102";"km/h";"-22.78017875";"-47.437152";
"42337.02087";"Velocidade média (GPS)";"60.8241739228009";"km/h";"-22.78017875";"-47.437152";
"42337.02187";"Altitude (GPS)";"574.63525390625";"m";"-22.78017875";"-47.437152";
"42337.02187";"Altitude (GPS)";"574.63525390625";"m";"-22.78017875";"-47.437152";
"42337.02187";"Velocidade (GPS)";"115.955996704102";"km/h";"-22.78017875";"-47.437152";
"42337.02187";"Velocidade (GPS)";"115.955996704102";"km/h";"-22.78017875";"-47.437152";
"42337.02187";"Velocidade média (GPS)";"60.824179990924";"km/h";"-22.78017875";"-47.437152";
"42337.02187";"Velocidade média (GPS)";"60.8241810605819";"km/h";"-22.78017875";"-47.437152";
"42337.41487";"Altitude (GPS)";"576.599975585938";"m";"-22.78017875";"-47.437152";
"42337.41487";"Altitude (GPS)";"576.599975585938";"m";"-22.78017875";"-47.437152";
"42337.41487";"Velocidade (GPS)";"117.046801757813";"km/h";"-22.78017875";"-47.437152";
"42337.41487";"Velocidade (GPS)";"117.046801757813";"km/h";"-22.78017875";"-47.437152";
"42337.41487";"Velocidade média (GPS)";"60.8268779084771";"km/h";"-22.78017875";"-47.437152";
"42337.41487";"Velocidade média (GPS)";"60.8268784847048";"km/h";"-22.78017875";"-47.437152";
"42338.01987";"Altitude (GPS)";"576.989135742188";"m";"-22.78017875";"-47.437152";
"42338.01987";"Velocidade (GPS)";"117.503997802734";"km/h";"-22.78017875";"-47.437152";
"42338.01987";"Velocidade média (GPS)";"60.8310580933329";"km/h";"-22.78017875";"-47.437152";
"42338.03187";"Altitude (GPS)";"576.989135742188";"m";"-22.78002308";"-47.43742066";
